Codigo_Pieza,Extension,Largo_CAD,Ancho_CAD,Espesor_Perfil_CAD,Material,Observaciones,Tiene_DXF,Largo_DXF,Ancho_DXF,Largo_DXF_Nuevo,Ancho_DXF_Nuevo,Ruta_Archivo
C53FT-ALUM-ABT6,.sldprt,,,,,No se pudo abrir el documento.,SI,2603.95,918.7406,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-ALUM-ABT6.SLDPRT
C53FT-ALUM-ABT7,.sldprt,,,,,No se pudo abrir el documento.,SI,918.7405999999997,793.3448699903696,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-ALUM-ABT7.SLDPRT
C53FT-BISAG-001,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-BISAG-001.SLDPRT
C53FT-BISAG-002,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-BISAG-002.SLDPRT
C53FT-BISAG-003,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-BISAG-003.SLDPRT
C53FT-CAMA-001,.sldprt,,,,,No se pudo abrir el documento.,SI,2603.5,1474.9339568897262,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-001.SLDPRT
C53FT-CAMA-002,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-002.SLDPRT
C53FT-CAMA-003,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-003.SLDPRT
C53FT-CAMA-004,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-004.SLDPRT
C53FT-CAMA-005,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-005.SLDPRT
C53FT-CAMA-006,.sldprt,,,,,No se pudo abrir el documento.,SI,495.8052040498085,76.2,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-006.SLDPRT
C53FT-CAMA-008,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-008.SLDPRT
C53FT-CAMA-009,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-009.SLDPRT
C53FT-CAMA-010,.sldprt,,,,,No se pudo abrir el documento.,SI,810.935128778623,566.59,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-010.SLDPRT
C53FT-CAMA-011,.sldprt,,,,,No se pudo abrir el documento.,SI,1251.87,635.0,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-011.SLDPRT
C53FT-CAMA-012,.sldprt,,,,,No se pudo abrir el documento.,NO,,,,,C:\Users\INGENIERIA-02\Desktop\Piezas_A_Procesar\C53FT-CAMA-012.SLDPRT
